BU,schedule,range,step,biweekly,ak_annual_salary
XE,A00,8,N,2169.75,56413.5
XE,A00,9,N,2304.0,59904.0
XE,A00,10,N,2441.25,63472.5
XE,A00,11,N,2604.75,67723.5
XE,A00,12,N,2785.5,72423.0
XE,A00,13,N,2985.0,77610.0
XE,A00,14,N,3206.25,83362.5
XE,A00,15,N,3435.0,89310.0
XE,A00,16,N,3684.0,95784.0
XE,A00,17,N,3938.25,102394.5
XE,A00,18,N,4217.25,109648.5
XE,A00,19,N,4505.25,117136.5
XE,A00,20,N,4815.75,125209.5
XE,A00,21,N,5142.0,133692.0
XE,A00,22,N,5499.0,142974.0
XE,A00,23,N,5896.5,153309.0
XE,A00,24,N,6297.75,163741.5
XE,A00,25,N,6767.25,175948.5
XE,A00,26,N,7010.25,182266.5
XE,A00,27,N,7274.25,189130.5
XE,A00,28,N,7527.75,195721.5
XE,A00,29,N,7794.75,202663.5
XE,A00,30,N,8069.25,209800.5
XE,A00,5,O,1874.25,48730.5
XE,A00,6,O,1986.0,51636.0
XE,A00,7,O,2113.5,54951.0
XE,A00,8,O,2240.25,58246.5
XE,A00,9,O,2379.0,61854.0
XE,A00,10,O,2520.75,65539.5
XE,A00,11,O,2689.5,69927.0
XE,A00,12,O,2876.25,74782.5
XE,A00,13,O,3081.75,80125.5
XE,A00,14,O,3310.5,86073.0
XE,A00,15,O,3546.75,92215.5
XE,A00,16,O,3804.0,98904.0
XE,A00,17,O,4066.5,105729.0
XE,A00,18,O,4354.5,113217.0
XE,A00,19,O,4651.5,120939.0
XE,A00,20,O,4972.5,129285.0
XE,A00,21,O,5309.25,138040.5
XE,A00,22,O,5677.5,147615.0
XE,A00,23,O,6088.5,158301.0
XE,A00,24,O,6502.5,169065.0
XE,A00,25,O,6987.0,181662.0
XE,A00,26,O,7238.25,188194.5
XE,A00,27,O,7510.5,195273.0
XE,A00,28,O,7772.25,202078.5
XE,A00,29,O,8048.25,209254.5
XE,A00,30,O,8331.75,216625.5
XE,A00,5,P,1935.0,50310.0
XE,A00,6,P,2050.5,53313.0
XE,A00,7,P,2182.5,56745.0
XE,A00,8,P,2313.0,60138.0
XE,A00,9,P,2456.25,63862.5
XE,A00,10,P,2602.5,67665.0
XE,A00,11,P,2777.25,72208.5
XE,A00,12,P,2970.0,77220.0
XE,A00,13,P,3182.25,82738.5
XE,A00,14,P,3417.75,88861.5
XE,A00,15,P,3662.25,95218.5
XE,A00,16,P,3927.75,102121.5
XE,A00,17,P,4198.5,109161.0
XE,A00,18,P,4496.25,116902.5
XE,A00,19,P,4803.0,124878.0
XE,A00,20,P,5133.75,133477.5
XE,A00,21,P,5481.75,142525.5
XE,A00,22,P,5862.0,152412.0
XE,A00,23,P,6286.5,163449.0
