JCC,Count
X0658,2
PE0541,2
X0859,2
L1063,2
PB0412,2
PG0622,2
X0321,2
X2358,2
PL0641,2
C0115,2
PE0411,2
PH0144,2
X1848,2
PG0540,2
PK0331,2
PB0208,2
PG0329,2
PI0437,2
PC0338,2
PC0324,2
X1260,2
PB0316,2
PA0121,2
X2385,2
PD0361,2
PE0402,2
PE0532,2
L1631,2
PL0712,2
PF0527,2
C4217,2
PC0353,2
PH0382,2
C0123,2
X0879,2
X0904,2
X0214,2
PI0463,2
C4202,2
PG0753,2
PL0421,2
PK0145,2
X0866B,2
PG0711,2
PG0651,2
PF0411,2
L1832,2
X1266H,2
L1069,2
PC0545,2
X2082,2
L1715,2
PC0351,2
PK0242,2
X1698,2
X1244,2
L1172,2
L3576,2
L4016,2
C0188,2
PK0341,2
PH0195,2
PC0331,2
X1406A,2
C0110,2
C0250,2
PC0332,2
PD0843,2
PI0302,2
PD0945,2
PB9901,2
PC0512,2
PB0707,2
X1266D,1
X2428,1
PF0556,1
PI0460,1
PC0292,1
L5418,1
PG0380,1
X2594,1
C3114,1
P2344,1
X1740,1
PB0701,1
L1649,1
C0133A,1
X2463,1
L1314,1
L4042,1
X2005D,1
X2261,1
C3315,1
C3301,1
PF0321,1
X2076,1
L1457,1
L1452,1
PB0255,1
PL0637,1
PD0209,1
L1658,1
X2343,1
C3300,1
PB0723,1
X2005H,1
L9554,1
X1820,1
PG0748,1
PC0580,1
PG0461,1
X1449,1
L1211,1
PI0431,1
PI0455,1
PC0112,1
X1652,1
X1263B,1
PD0313,1
X2371,1
PL0845,1
X2537,1
X2559,1
X2022,1
L1717,1
PJ0388,1
PE0111,1
C3122B,1
X2399,1
L1909,1
PE0259,1
PG0602,1
X1867,1
X0001,1
PB0709,1
X1616,1
C3404,1
L7141,1
C3118,1
L9339,1
C3116,1
X0213A,1
X2509,1
PB0650,1
X1176B,1
X0232A,1
X1199,1
X2348,1
C0196,1
X2326,1
PI0519,1
C3117,1
PG0560,1
X2523,1
X2434,1
X0685,1
X2526,1
C5207,1
X0078,1
X1156,1
L0498,1
X2600,1
PH0301,1
PF0303,1
PD0411,1
X2579,1
X2398,1
PJ0360,1
C3138,1
X2260,1
X0553E,1
X1701,1
PK0742,1
X0521,1
PF0562,1
L1309,1
PI0406,1
L1622,1
PJ0241,1
X0195,1
C3425,1
PB0136,1
PA0122,1
X1393B,1
X1813,1
L1530,1
L9616,1
C0140,1
X2174,1
C3139,1
L9336,1
X2564,1
C3602,1
X1179,1
X1886,1
L0497,1
X1192B,1
C3137,1
PL0223,1
L1455,1
PF0563,1
L1324,1
PH0157,1
L3578,1
L3590,1
X1192C,1
X1227A,1
L3620,1
X0193D,1
PJ0353,1
PK0146,1
X0043,1
PK0708,1
L1628,1
PB0230,1
PG0746,1
PJ0142,1
PJ0130,1
X2321,1
C3128,1
X0426,1
X2547,1
L1614,1
PF0542,1
X0751,1
X1991,1
C3608,1
X2185,1
X2531,1
X1312C,1
X2143,1
C0107,1
PD04A3,1
